         45300 function calls (42300 primitive calls) in 3.267 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       84    3.207    0.038    3.207    0.038 {method 'recv' of '_socket.socket' objects}
      474    0.006    0.000    0.006    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       57    0.004    0.000    0.004    0.000 encoder.py:204(iterencode)
      237    0.003    0.000    0.006    0.000 __init__.py:282(__init__)
      474    0.003    0.000    0.003    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
       84    0.003    0.000    0.003    0.000 {method 'sendall' of '_socket.socket' objects}
6552/3552    0.002    0.000    0.006    0.000 encoder.py:333(_iterencode_dict)
      237    0.002    0.000    0.002    0.000 {method 'seek' of '_io.TextIOWrapper' objects}
     3162    0.002    0.000    0.005    0.000 encoder.py:277(_iterencode_list)
      855    0.001    0.000    0.001    0.000 {built-in method _json.encode_basestring_ascii}
       84    0.001    0.000    3.208    0.038 protocol.py:4(recvall)
      711    0.001    0.000    0.007    0.000 __init__.py:595(format)
      237    0.001    0.000    0.002    0.000 __init__.py:1446(findCaller)
      474    0.001    0.000    0.001    0.000 {built-in method time.localtime}
      474    0.001    0.000    0.001    0.000 {built-in method time.strftime}
      711    0.001    0.000    0.001    0.000 __init__.py:421(format)
       42    0.001    0.000    3.217    0.077 server.py:82(receive_json_from_player)
      237    0.001    0.000    0.024    0.000 __init__.py:1570(callHandlers)
       57    0.001    0.000    0.011    0.000 encoder.py:182(encode)
      474    0.001    0.000    0.014    0.000 __init__.py:1013(emit)
      237    0.001    0.000    0.007    0.000 handlers.py:175(shouldRollover)
       42    0.001    0.000    0.003    0.000 __init__.py:299(loads)
      474    0.001    0.000    0.004    0.000 __init__.py:1002(flush)
     3564    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
      474    0.001    0.000    0.024    0.000 __init__.py:881(handle)
      237    0.001    0.000    0.035    0.000 __init__.py:1491(_log)
       63    0.001    0.000    0.001    0.000 server.py:561(update_game_state)
       42    0.001    0.000    0.012    0.000 server.py:69(send_json_to_player)
       24    0.001    0.000    1.779    0.074 server.py:202(activate_power)
      474    0.001    0.000    0.003    0.000 __init__.py:528(formatTime)
      237    0.001    0.000    0.007    0.000 __init__.py:1476(makeRecord)
      137    0.001    0.000    0.023    0.000 __init__.py:1368(info)
     1181    0.001    0.000    0.001    0.000 server.py:131(display)
      711    0.000    0.000    0.001    0.000 __init__.py:360(getMessage)
       12    0.000    0.000    3.260    0.272 server.py:150(play)
      711    0.000    0.000    0.008    0.000 __init__.py:858(format)
       84    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      948    0.000    0.000    0.001    0.000 __init__.py:838(acquire)
      237    0.000    0.000    0.001    0.000 posixpath.py:144(basename)
      237    0.000    0.000    0.000    0.000 {method 'tell' of '_io.TextIOWrapper' objects}
       42    0.000    0.000    3.209    0.076 protocol.py:15(receive_json)
      711    0.000    0.000    0.001    0.000 __init__.py:573(usesTime)
      711    0.000    0.000    0.001    0.000 __init__.py:418(usesTime)
       42    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
      237    0.000    0.000    0.014    0.000 handlers.py:61(emit)
     3552    0.000    0.000    0.006    0.000 encoder.py:413(_iterencode)
      711    0.000    0.000    0.000    0.000 __init__.py:736(filter)
       42    0.000    0.000    0.001    0.000 __init__.py:244(detect_encoding)
      237    0.000    0.000    0.000    0.000 genericpath.py:117(_splitext)
       12    0.000    0.000    0.888    0.074 server.py:399(move)
      237    0.000    0.000    0.001    0.000 posixpath.py:121(splitext)
      237    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
      100    0.000    0.000    0.013    0.000 __init__.py:1356(debug)
      949    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
      237    0.000    0.000    0.001    0.000 posixpath.py:52(normcase)
      711    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      948    0.000    0.000    0.000    0.000 __init__.py:845(release)
       42    0.000    0.000    0.001    0.000 decoder.py:332(decode)
       57    0.000    0.000    0.011    0.000 __init__.py:183(dumps)
      237    0.000    0.000    0.025    0.000 __init__.py:1516(handle)
       12    0.000    0.000    0.583    0.049 server.py:172(select)
      948    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      237    0.000    0.000    0.000    0.000 __init__.py:154(<lambda>)
      711    0.000    0.000    0.001    0.000 __init__.py:579(formatMessage)
      237    0.000    0.000    0.000    0.000 __init__.py:1614(isEnabledFor)
      474    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      237    0.000    0.000    0.000    0.000 __init__.py:117(getLevelName)
      237    0.000    0.000    0.000    0.000 threading.py:1226(current_thread)
       42    0.000    0.000    3.230    0.077 server.py:97(ask_question_json)
      711    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      576    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      711    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       63    0.000    0.000    0.000    0.000 server.py:565(<listcomp>)
      237    0.000    0.000    0.007    0.000 __init__.py:1118(emit)
       42    0.000    0.000    0.003    0.000 protocol.py:23(send_json)
       42    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       42    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
      237    0.000    0.000    0.000    0.000 threading.py:1064(name)
      237    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
      126    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
      237    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
      237    0.000    0.000    0.000    0.000 {built-in method time.time}
       63    0.000    0.000    0.000    0.000 server.py:567(<listcomp>)
      103    0.000    0.000    0.000    0.000 server.py:124(__repr__)
       42    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
      949    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
      474    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      165    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 server.py:442(__init__)
       66    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        3    0.000    0.000    3.266    1.089 server.py:518(tour)
        3    0.000    0.000    3.260    1.087 server.py:488(actions)
